author;nbr_publication
Rustam Mubarakzjanov;6
Ulrich Holtmann;5
Tim Voetmann;2
Peter Rossmanith;92
Ditmar Erdmann;2
Peter Dierolf;3
Markus R. Schmidt;2
Klaus W. Wagner;99
B. S. Tam;2
Anderson Rocha 0001;82
Arnon Rosenthal;43
Tim Berners-Lee;24
Dan Suciu;300
Robin Cover;3
E. F. Codd;43
C. J. Date;40
Ralf Merz;2
John Lions;10
Patrick A. V. Hall;14
Markus Tresch;13
Andreas Rock;2
Bir Bhanu;220
Marijke De Soete;23
Chen-Mou Cheng;23
Kui Ren 0001;162
Carlisle Adams;79
Alex Biryukov;86
Gerrit Bleumer;82
Carl M. Ellison;11
David Naccache;128
Dan Boneh;104
Burt Kaliski;50
Burton S. Kaliski Jr.;62
Friedrich L. Bauer;148
Peter Landrock;38
Lars R. Knudsen;41
Stan Z. Li;286
Sean W. Smith;104
Adam J. Lee;32
Yvo Desmedt;110
Berry Schoenmakers;53
Anne Canteaut;50
Nicolas Sendrier;48
Eran Tromer;47
Christophe De Cannière;33
Catherine A. Meadows;71
Pierangela Samarati;216
Angelika Plate;2
Clemens Heinrich;7
Stefan Köpsell;16
Kazue Sako;31
Bodo Möller;27
Ninghui Li;84
Tanja Lange 0001;69
Arun Ross;145
Jim Alves-Foss;45
Ran Canetti;25
Reza Curtmola;13
Bart Preneel;384
Alessandro Campi;7
Kim Nguyen;16
William Whyte;24
Caroline Fontaine;44
Gerald Brose;16
Matthias Schunter;28
Eric Cronin;5
Markus Kuhn;12
Richard T. Simon;3
Sabrina De Capitani di Vimercati;21
Helena Handschuh;15
Berk Sunar;127
Dan S. Wallach;81
Christian Cachin;31
Mary J. Culnan;18
Vijay Alturi;2
Antoon Bosselaers;7
Claude Carlet;90
Scott Contini;13
Malek Ben Salem;6
Krzysztof Kryszczuk;3
Francis Olivier;8
J. Black;2
Mitchell A. Thornton;53
Torben P. Pedersen;25
Nary Subramanian;20
Marco Bucci;4
Anton Stiglic;22
Phong Q. Nguyen;41
Jean-Jacques Quisquater;169
Robert J. Zuccherato;21
Salil P. Vadhan;203
Marc Vauclair;10
Alfred Menezes;87
Tom Caddy;19
Radu Sion;77
Yevgeniy Dodis;21
XiaoFeng Wang 0001;35
Ernst M. Gabidulin;24
Emmanuel Thomé;51
Torben Pedersen;10
Trent Jaeger;65
François Morain;24
Gregory A. Kabatiansky;18
Matthew K. Franklin;26
Tor Helleseth;141
Fabio Scotti;48
Robert Silverman;7
Dalit Naor;13
Jungwoo Ryoo;16
Tim Güneysu;99
Denis V. Popel;11
Saeed Abu-Nimeh;3
Hamid Choukri;3
David Samyde;9
Greg Sinclair;2
Anurag Srivastava;16
Vincent Rijmen;120
Moses D. Liskov;18
Nicholas C. Weaver;3
Wensheng Zhang;37
Henk C. A. van Tilborg;42
Andrew Beng Jin Teoh;69
Jean-Louis Lanet;66
V. N. Venkatakrishnan;39
Claudio Bettini;54
Ehab Al-Shaer;94
Anil K. Jain 0001;499
Angelos Stavrou;73
Graham Steel;31
Ebru Celikel Cankaya;6
Nicky Mouha;8
Jorge Guajardo;17
Lorrie Faith Cranor;85
Miles E. Smid;7
Marco Gruteser;59
Nicolas Thériault;26
Steve Lloyd;2
Xiaokui Xiao;50
Patrick D. McDaniel;102
Collin Jackson;14
Peng Ning;78
Claudio Agostino Ardagna;8
Kaoru Kurosawa;111
Martin Gagné;3
Fabien A. P. Petitcolas;22
Qiushi Yang;3
Dario V. Forte;9
Dwight Horne;3
Mike Just;29
Ben J. M. Smeets;27
Jerome A. Solinas;18
Paul England;8
François Koeune;5
Donggang Liu;17
Sharad Mehrotra;118
Claude Crépeau;24
Sencun Zhu;52
David F. Ferraiolo;11
Michalis Polychronakis;30
Pascale Charpin;26
Niels Provos;16
Josep Domingo-Ferrer;167
Rama Chellappa;610
Srdjan Capkun;166
Joe Pato;4
Laurent Sustek;3
B. V. K. Vijaya Kumar;145
Sara Foresti;8
Paolo Salvaneschi;16
Paul Leyland;2
Michael Ward;12
Olivier Benoît;4
Jeffrey J. Wiley;4
Gerardo Pelosi;47
Christiane Peters;20
Glenn Durfee;8
Mohamed Omar Rayes;4
Christof Paar;203
Guofei Gu;53
Michael E. Locasto;22
Alex Stoianov;6
Mike Burmester;40
François-Xavier Standaert;145
Jing Dong 0006;2
Mehdi Tibouchi;101
André Weimerskirch;16
Jonas Richiardi;4
William Enck;20
Scott E. Coull;2
Venu Govindaraju;250
Vinod Ganapathy;22
Sean Turner;33
Michael J. Wiener;20
Daniel J. Bernstein;33
Pavan Verma;2
Matthew J. B. Robshaw;42
Thomas Morris;11
Alessandro Neri 0001;111
Debbie Cook;2
Edlyn Teske;29
David Pointcheval;141
Jörg Schwenk;132
Stephen M. Papa;3
Arkadiusz Orlowski;25
Cristina Nita-Rotaru;62
Martin Johns;29
Wenyuan Xu;44
Daniel Gordon;4
Arjen K. Lenstra;60
Jonathan K. Millen;31
Sebastiaan Indesteege;4
Moritz Riesner;4
Paul Zimmermann;71
Ernesto Damiani;118
Andrew Clark;21
Keith B. Frikken;19
Michael T. Hunter;2
Çetin Kaya Koç;76
Wangmeng Zuo;105
Frédérique Biennier;30
Scott A. Rotondo;3
Bee-Chung Chen;13
Sharon Boeyen;4
Daniele Micciancio;79
Elisa Gorla;13
Serge Fenet;4
Giovanni Livraga;8
Lee D. McFearin;5
Daniel M. Gordon;14
Qijun Gu;16
Bo-Yin Yang;66
William D. Casper;3
Stefano Paraboschi;42
Angelos D. Keromytis;147
Nadia Heninger;26
Cynthia Dwork;36
Italo Dacosta;2
Colin D. Walter;43
William Stallings;45
Elisabeth de Leeuw;2
Kaigui Bian;28
Atsuhiro Yamagishi;5
Nora Cuppens-Boulahia;30
Zhichao Zhu;4
Jeffrey Hoffstein;3
Henri Massias;3
Pascal Paillier;28
David Challener;5
Konstantinos N. Plataniotis;201
Vivek Kanhangad;22
Gregor Leander;45
Eli Biham;25
Edward Sciore;35
Brent ByungHoon Kang;38
Alessandro Orso;81
Benny Pinkas;78
Goce Jakimoski;6
Anita Ochieano;2
Bryan D. Payne;4
Jean-Pierre Hubaux;181
Russell Housley;43
Brecht Wyseur;6
Alexander W. Dent;31
Scott D. Stoller;83
Aaron Estes;4
Alan D. Smith;66
David A. McGrew;30
Martin Evison;3
John Ioannidis;10
Engin Kirda;88
Roberto Sassi;33
