author;id_publication
Kazue Sako;reference/crypt/Sako05a
Benny Pinkas;reference/crypt/Pinkas11
Nicolas Sendrier;reference/crypt/Sendrier11a
Berk Sunar;reference/crypt/Sunar11b
Dan Boneh;reference/crypt/Boneh05a
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xj
Yvo Desmedt;reference/crypt/DesmedtJ11
Goce Jakimoski;reference/crypt/DesmedtJ11
Ali Bagherzandi;reference/crypt/BagherzandiHM11
Bijit Hore;reference/crypt/BagherzandiHM11
Sharad Mehrotra;reference/crypt/BagherzandiHM11
Antoon Bosselaers;reference/crypt/Bosselaers05
Gerrit Bleumer;reference/crypt/Bleumer11c
Alex Biryukov;reference/crypt/Biryukov05s
Michael Ward;reference/crypt/WardO11
Anita Ochieano;reference/crypt/WardO11
Anton Stiglic;reference/crypt/Stiglic05f
Darrel Hankerson;reference/crypt/HankersonM11
Alfred Menezes;reference/crypt/HankersonM11
Arjen K. Lenstra;reference/crypt/Lenstra05d
David Naccache;reference/crypt/Naccache11n
Bryan D. Payne;reference/crypt/Payne11
Caroline Fontaine;reference/crypt/Fontaine11e
Anne Canteaut;reference/crypt/Canteaut05m
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xh
Gerrit Bleumer;reference/crypt/Bleumer11g
Thomas Eisenbarth 0001;reference/crypt/EisenbarthKPI11
Timo Kasper;reference/crypt/EisenbarthKPI11
Christof Paar;reference/crypt/EisenbarthKPI11
Sebastiaan Indesteege;reference/crypt/EisenbarthKPI11
Sebastiaan Indesteege;reference/crypt/Indesteege11a
Gerrit Bleumer;reference/crypt/Bleumer05p
Tom Caddy;reference/crypt/CaddyB05
Gerrit Bleumer;reference/crypt/CaddyB05
Bart Preneel;reference/crypt/Preneel05
Tor Helleseth;reference/crypt/Helleseth11e
Berry Schoenmakers;reference/crypt/Schoenmakers11h
Friedrich L. Bauer;reference/crypt/Bauer05r
Yvo Desmedt;reference/crypt/Desmedt05h
Torben P. Pedersen;reference/crypt/Pedersen05a
Carlisle Adams;reference/crypt/Adams05j
Caroline Fontaine;reference/crypt/Fontaine05b
Carlisle Adams;reference/crypt/Adams05f
Matthew J. B. Robshaw;reference/crypt/Robshaw11a
Panos Papadimitratos;reference/crypt/PapadimitratosH11
Jean-Pierre Hubaux;reference/crypt/PapadimitratosH11
Russell Housley;reference/crypt/Housley05
Alex Biryukov;reference/crypt/Biryukov05b
Alex Biryukov;reference/crypt/Biryukov11o
Eli Biham;reference/crypt/Biham11
Christof Paar;reference/crypt/Paar11c
Gerrit Bleumer;reference/crypt/Bleumer05t
Eric Cronin;reference/crypt/Cronin11
Claude Crépeau;reference/crypt/Crepeau05
François Koeune;reference/crypt/Koeune11a
Christian Cachin;reference/crypt/Cachin05
Matthias Schunter;reference/crypt/Schunter11a
Torben Pedersen;reference/crypt/Pedersen11a
Scott A. Rotondo;reference/crypt/Rotondo11
Steve Lloyd;reference/crypt/LloydA11
Carlisle Adams;reference/crypt/LloydA11
Bart Preneel;reference/crypt/Preneel05i
Marijke De Soete;reference/crypt/Soete11f
Marijke De Soete;reference/crypt/Soete11g
Burt Kaliski;reference/crypt/Kaliski11f
Caroline Fontaine;reference/crypt/Fontaine11a
Scott Contini;reference/crypt/ContiniKW05
Çetin Kaya Koç;reference/crypt/ContiniKW05
Colin D. Walter;reference/crypt/ContiniKW05
Gerrit Bleumer;reference/crypt/Bleumer11b
Friedrich L. Bauer;reference/crypt/Bauer11n
Berk Sunar;reference/crypt/Sunar05a
Arjen K. Lenstra;reference/crypt/Lenstra05
Anton Stiglic;reference/crypt/Stiglic05e
Brecht Wyseur;reference/crypt/Wyseur11
Gerrit Bleumer;reference/crypt/Bleumer11m
Alex Biryukov;reference/crypt/Biryukov11m
Burt Kaliski;reference/crypt/Kaliski11t
Roberto Avanzi;reference/crypt/AvanziT11
Nicolas Thériault;reference/crypt/AvanziT11
Alexander W. Dent;reference/crypt/Dent11
Mike Just;reference/crypt/Just11g
Gerrit Bleumer;reference/crypt/Bleumer11k
David Challener;reference/crypt/Challener11
Carlisle Adams;reference/crypt/Adams11c
Scott D. Stoller;reference/crypt/Stoller11
Burt Kaliski;reference/crypt/Kaliski11c
Aaron Estes;reference/crypt/Estes11a
Alan D. Smith;reference/crypt/Smith11a
Burton S. Kaliski Jr.;reference/crypt/Kaliski05q
David A. McGrew;reference/crypt/McGrew11
Carlisle Adams;reference/crypt/Adams05q
Anne Canteaut;reference/crypt/Canteaut11n
Mike Just;reference/crypt/Just05b
Aaron Estes;reference/crypt/Estes11
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xd
Nicolas Sendrier;reference/crypt/Sendrier05a
Peter Landrock;reference/crypt/Landrock05b
Martin Evison;reference/crypt/Evison11
G. R. Blakley;reference/crypt/BlakleyK11a
Gregory A. Kabatiansky;reference/crypt/BlakleyK11a
Dan Boneh;reference/crypt/Boneh11e
Donggang Liu;reference/crypt/Liu11c
Bart Preneel;reference/crypt/Preneel11q
Berry Schoenmakers;reference/crypt/Schoenmakers11d
John Ioannidis;reference/crypt/Ioannidis11
Dan Boneh;reference/crypt/Boneh11a
Engin Kirda;reference/crypt/Kirda11
Friedrich L. Bauer;reference/crypt/Bauer05q
Gerrit Bleumer;reference/crypt/Bleumer11t
Fabio Scotti;reference/crypt/ScottiCS11
Stelvio Cimato;reference/crypt/ScottiCS11
Roberto Sassi;reference/crypt/ScottiCS11
Friedrich L. Bauer;reference/crypt/Bauer11m
Caroline Fontaine;reference/crypt/Fontaine11h
Marijke De Soete;reference/crypt/Soete11m
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xk
Yvo Desmedt;reference/crypt/Desmedt11c
Tom Caddy;reference/crypt/Caddy05e
Kazue Sako;reference/crypt/Sako11
Daniele Micciancio;reference/crypt/Micciancio05a
Stephen M. Papa;reference/crypt/PapaC11a
William D. Casper;reference/crypt/PapaC11a
Berry Schoenmakers;reference/crypt/Schoenmakers05g
Jorge Guajardo;reference/crypt/Guajardo05
Bart Preneel;reference/crypt/Preneel05j
Burton S. Kaliski Jr.;reference/crypt/Kaliski05v
Clemens Heinrich;reference/crypt/Heinrich11b
Alex Biryukov;reference/crypt/Biryukov05q
Tom Caddy;reference/crypt/Caddy11
William Enck;reference/crypt/Enck11a
André Weimerskirch;reference/crypt/Weimerskirch05a
Bart Preneel;reference/crypt/Preneel05e
Berry Schoenmakers;reference/crypt/Schoenmakers05e
Berk Sunar;reference/crypt/Sunar11
Paul C. Leyland;reference/crypt/Leyland05
Gerrit Bleumer;reference/crypt/Bleumer11f
Alex Biryukov;reference/crypt/Biryukov11ac
Anton Stiglic;reference/crypt/Stiglic05b
Alex Biryukov;reference/crypt/Biryukov05w
Ninghui Li;reference/crypt/Li11a
Gerrit Bleumer;reference/crypt/Bleumer05
Joan Daemen;reference/crypt/DaemenR11
Vincent Rijmen;reference/crypt/DaemenR11
Anton Stiglic;reference/crypt/Stiglic11b
Laurent Bussard;reference/crypt/Bussard11
Alex Biryukov;reference/crypt/Biryukov11p
David Brumley;reference/crypt/Brumley11
Markus Kuhn;reference/crypt/Kuhn05a
Luc Bouganim;reference/crypt/BouganimG11
Yanli Guo;reference/crypt/BouganimG11
Christophe De Cannière;reference/crypt/Canniere05j
Qijun Gu;reference/crypt/Gu11b
Alex Biryukov;reference/crypt/Biryukov11r
André Weimerskirch;reference/crypt/Weimerskirch11
Sabrina De Capitani di Vimercati;reference/crypt/VimercatiF11
Sara Foresti;reference/crypt/VimercatiF11
Darrel Hankerson;reference/crypt/HankersonM11j
Alfred Menezes;reference/crypt/HankersonM11j
Joachim Biskup;reference/crypt/Biskup11
Dan Boneh;reference/crypt/Boneh11c
Christophe De Cannière;reference/crypt/Canniere05c
Tom Caddy;reference/crypt/Caddy11h
Anne Canteaut;reference/crypt/Canteaut05g
Burton S. Kaliski Jr.;reference/crypt/Kaliski05t
Ran Canetti;reference/crypt/CanettiV11
Mayank Varia;reference/crypt/CanettiV11
Bart Preneel;reference/crypt/Preneel11o
Yvo Desmedt;reference/crypt/Desmedt05
Arjen K. Lenstra;reference/crypt/Lenstra05c
Gerardo Pelosi;reference/crypt/Pelosi11a
Ebru Celikel Cankaya;reference/crypt/Cankaya11b
William E. Winkler;reference/crypt/Winkler11
Russ Housley;reference/crypt/Housley11
Gerrit Bleumer;reference/crypt/Bleumer11v
Christophe De Cannière;reference/crypt/Canniere11
Christophe De Cannière;reference/crypt/Canniere11g
Alex Biryukov;reference/crypt/Biryukov05m
Tor Helleseth;reference/crypt/Helleseth05a
Gildas Avoine;reference/crypt/Avoine11
David Pointcheval;reference/crypt/Pointcheval05a
Mark Stephens;reference/crypt/Stephens11
David Elliott Bell;reference/crypt/Bell11
Anne Canteaut;reference/crypt/Canteaut05l
Peter Landrock;reference/crypt/Landrock05u
Arjen K. Lenstra;reference/crypt/Lenstra11
Christof Paar;reference/crypt/Paar11a
Anton Stiglic;reference/crypt/Stiglic11e
Marc Vauclair;reference/crypt/Vauclair11
Burton S. Kaliski Jr.;reference/crypt/Kaliski05b
Paul Zimmermann;reference/crypt/Zimmermann11
Fernando L. Podio;reference/crypt/Podio11
Peter Landrock;reference/crypt/Landrock05j
Johannes Gehrke;reference/crypt/GehrkeM11
Ashwin Machanavajjhala;reference/crypt/GehrkeM11
Darrel Hankerson;reference/crypt/HankersonM05c
Alfred Menezes;reference/crypt/HankersonM05c
Daniele Micciancio;reference/crypt/Micciancio11a
Berry Schoenmakers;reference/crypt/Schoenmakers11
Jorge Guajardo;reference/crypt/Guajardo11
Robert Silverman;reference/crypt/Silverman11
Anne Canteaut;reference/crypt/Canteaut05e
Sachiko Yoshihama;reference/crypt/Yoshihama11
Berry Schoenmakers;reference/crypt/Schoenmakers05b
Henk C. A. van Tilborg;reference/crypt/Tilborg11
Darrel Hankerson;reference/crypt/HankersonM11b
Alfred Menezes;reference/crypt/HankersonM11b
Carl M. Ellison;reference/crypt/Ellison11a
Xiaowei Yang 0001;reference/crypt/Yang11
Benny Pinkas;reference/crypt/Pinkas05
Alex Biryukov;reference/crypt/Biryukov11q
Aggelos Kiayias;reference/crypt/KiayiasY11
Bülent Yener;reference/crypt/KiayiasY11
Marion Videau;reference/crypt/Videau11a
Angelos D. Keromytis;reference/crypt/Keromytis11
Suman Banerjee;reference/crypt/BanerjeeB11
Vladimir Brik;reference/crypt/BanerjeeB11
John Black;reference/crypt/Black05
Scott Contini;reference/crypt/Contini05d
Gerrit Bleumer;reference/crypt/Bleumer11z
Matthew J. B. Robshaw;reference/crypt/Robshaw05
Matthias Schunter;reference/crypt/Schunter05b
Bodo Möller;reference/crypt/Moller05a
Friedrich L. Bauer;reference/crypt/Bauer05l
Tor Helleseth;reference/crypt/Helleseth05e
Gerrit Bleumer;reference/crypt/Bleumer11aa
Carlisle Adams;reference/crypt/Adams11
Philippe Gaborit;reference/crypt/GaboritS11
Nicolas Sendrier;reference/crypt/GaboritS11
Berry Schoenmakers;reference/crypt/Schoenmakers05f
Jelena Mirkovic;reference/crypt/Mirkovic11
Dan Boneh;reference/crypt/Boneh11f
Berk Sunar;reference/crypt/Sunar11a
Carlisle Adams;reference/crypt/Adams11e
Peter Landrock;reference/crypt/Landrock05g
XiaoFeng Wang 0001;reference/crypt/Wang11
Jerome A. Solinas;reference/crypt/Solinas05a
Ronald L. Rivest;reference/crypt/RivestK11
Burt Kaliski;reference/crypt/RivestK11
Sabrina De Capitani di Vimercati;reference/crypt/VimercatiS11a
Pierangela Samarati;reference/crypt/VimercatiS11a
Arjen K. Lenstra;reference/crypt/Lenstra05e
Mike Just;reference/crypt/Just11b
Pascale Charpin;reference/crypt/Charpin11
Burt Kaliski;reference/crypt/Kaliski11j
Aaron Estes;reference/crypt/Estes11b
Clemens Heinrich;reference/crypt/Heinrich11
Joan Daemen;reference/crypt/DaemenR05
Vincent Rijmen;reference/crypt/DaemenR05
André Weimerskirch;reference/crypt/Weimerskirch05
Alex Biryukov;reference/crypt/Biryukov05xb
Tor Helleseth;reference/crypt/Helleseth05c
Gerrit Bleumer;reference/crypt/Bleumer05o
Benoît Libert;reference/crypt/LibertQ05
Jean-Jacques Quisquater;reference/crypt/LibertQ05
Peter Landrock;reference/crypt/Landrock05w
Berry Schoenmakers;reference/crypt/Schoenmakers05c
Bruce Schneier;reference/crypt/Schneier11
Anne Canteaut;reference/crypt/Canteaut11c
Robert J. Zuccherato;reference/crypt/Zuccherato11a
Scott Contini;reference/crypt/Contini11d
Pascal Paillier;reference/crypt/Paillier11
Marion Videau;reference/crypt/Videau11
Cristina Nita-Rotaru;reference/crypt/Nita-RotaruDC11
Jing Dong 0006;reference/crypt/Nita-RotaruDC11
Reza Curtmola;reference/crypt/Nita-RotaruDC11
Mudhakar Srivatsa;reference/crypt/SrivatsaI11
Arun Iyengar;reference/crypt/SrivatsaI11
Carlisle Adams;reference/crypt/Adams05t
Moses D. Liskov;reference/crypt/Liskov11b
Kazue Sako;reference/crypt/Sako05d
Hakki C. Cankaya;reference/crypt/Cankaya11a
Caroline Fontaine;reference/crypt/Fontaine11
Christophe De Cannière;reference/crypt/Canniere11e
Jean-Jacques Quisquater;reference/crypt/QuisquaterA11
Gildas Avoine;reference/crypt/QuisquaterA11
François Morain;reference/crypt/Morain11
G. R. Blakley;reference/crypt/BlakleyK11b
Gregory A. Kabatiansky;reference/crypt/BlakleyK11b
Marijke De Soete;reference/crypt/Soete11j
Carlisle Adams;reference/crypt/Adams11g
Daniele Micciancio;reference/crypt/Micciancio05
Dan Boneh;reference/crypt/Boneh11d
Peter Landrock;reference/crypt/Landrock05v
Yvo Desmedt;reference/crypt/DesmedtJ11a
Goce Jakimoski;reference/crypt/DesmedtJ11a
Friedrich L. Bauer;reference/crypt/Bauer05c
Scott Contini;reference/crypt/Contini11
Friedrich L. Bauer;reference/crypt/Bauer11s
Anton Stiglic;reference/crypt/Stiglic05
Darrel Hankerson;reference/crypt/HankersonM05
Alfred Menezes;reference/crypt/HankersonM05
Steven M. Bellovin;reference/crypt/Bellovin11
Alex Biryukov;reference/crypt/Biryukov11z
Yevgeniy Dodis;reference/crypt/Dodis11
Bart Preneel;reference/crypt/Preneel05f
Robert Blakley;reference/crypt/BlakleyK05c
Gregory A. Kabatiansky;reference/crypt/BlakleyK05c
André Weimerskirch;reference/crypt/Weimerskirch05b
Robert Blakley;reference/crypt/BlakleyK05b
Gregory A. Kabatiansky;reference/crypt/BlakleyK05b
Robert J. Zuccherato;reference/crypt/Zuccherato05
Piero A. Bonatti;reference/crypt/Bonatti11
Friedrich L. Bauer;reference/crypt/Bauer05e
David Naccache;reference/crypt/Naccache11d
Srdjan Capkun;reference/crypt/Capkun11c
Homayoon S. M. Beigi;reference/crypt/Beigi11
Jerome A. Solinas;reference/crypt/Solinas05b
Sabrina De Capitani di Vimercati;reference/crypt/VimercatiL11b
Giovanni Livraga;reference/crypt/VimercatiL11b
Alex Biryukov;reference/crypt/Biryukov05o
George C. Necula;reference/crypt/Necula11
Christophe De Cannière;reference/crypt/Canniere05b
Bart Preneel;reference/crypt/Preneel05h
Bart Preneel;reference/crypt/Preneel11f
Bart Preneel;reference/crypt/Preneel11a
Charu C. Aggarwal;reference/crypt/Aggarwal11
Nabil R. Adam;reference/crypt/AdamLVS11
Haibing Lu;reference/crypt/AdamLVS11
Jaideep Vaidya;reference/crypt/AdamLVS11
Basit Shafiq;reference/crypt/AdamLVS11
Alex Biryukov;reference/crypt/Biryukov11c
Berry Schoenmakers;reference/crypt/Schoenmakers11a
Mike Just;reference/crypt/Just11h
Clemens Heinrich;reference/crypt/Heinrich05a
Caroline Fontaine;reference/crypt/Fontaine05e
Alex Biryukov;reference/crypt/Biryukov11ab
Anne Canteaut;reference/crypt/Canteaut11l
Scott Contini;reference/crypt/Contini05a
Phong Q. Nguyen;reference/crypt/Nguyen05a
Davide Martinenghi;reference/crypt/Martinenghi11
Antoon Bosselaers;reference/crypt/Bosselaers11
Randy Sabett;reference/crypt/Sabett05
Caroline Fontaine;reference/crypt/Fontaine11c
Robert J. Zuccherato;reference/crypt/Zuccherato11c
Anton Stiglic;reference/crypt/Stiglic11
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xa
Arjen K. Lenstra;reference/crypt/Lenstra11b
Christophe De Cannière;reference/crypt/Canniere11b
Anne Canteaut;reference/crypt/Canteaut05i
Anne Canteaut;reference/crypt/Canteaut11e
Marijke De Soete;reference/crypt/Soete11n
Pierrick Gaudry;reference/crypt/Gaudry11
Robert J. Zuccherato;reference/crypt/Zuccherato05a
Burt Kaliski;reference/crypt/Kaliski11a
Anne Canteaut;reference/crypt/Canteaut05
Burt Kaliski;reference/crypt/Kaliski11b
Burt Kaliski;reference/crypt/Kaliski11e
Dan Boneh;reference/crypt/Boneh05g
Berry Schoenmakers;reference/crypt/Schoenmakers11b
Radmilo Racic;reference/crypt/Racic11
John Ioannidis;reference/crypt/Ioannidis11a
George Kesidis;reference/crypt/Kesidis11
Marijke De Soete;reference/crypt/Soete11
Marc Vauclair;reference/crypt/Vauclair11a
Pierangela Samarati;reference/crypt/Samarati11b
Yvo Desmedt;reference/crypt/Desmedt05f
Burt Kaliski;reference/crypt/Kaliski11z
Peter Landrock;reference/crypt/Landrock05t
Laurent Sustek;reference/crypt/Sustek05
Hugo Krawczyk;reference/crypt/Krawczyk05
Sean W. Smith;reference/crypt/Smith11e
Friedrich L. Bauer;reference/crypt/Bauer05n
Antoine Joux;reference/crypt/JouxL11
Reynald Lercier;reference/crypt/JouxL11
David Naccache;reference/crypt/Naccache11e
Cynthia Dwork;reference/crypt/Dwork11
Anne Canteaut;reference/crypt/Canteaut11a
David Naccache;reference/crypt/Naccache11b
Bart Preneel;reference/crypt/Preneel11k
Mike Burmester;reference/crypt/Burmester11
Sabrina De Capitani di Vimercati;reference/crypt/Vimercati11
Hakki C. Cankaya;reference/crypt/Cankaya11
Bart Preneel;reference/crypt/Preneel11e
Alex Biryukov;reference/crypt/Biryukov11k
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xi
Engin Kirda;reference/crypt/Kirda11a
Darrel Hankerson;reference/crypt/HankersonM11g
Alfred Menezes;reference/crypt/HankersonM11g
François-Xavier Standaert;reference/crypt/StandaertQ11a
Jean-Jacques Quisquater;reference/crypt/StandaertQ11a
Mehdi Tibouchi;reference/crypt/Tibouchi11
Anne Canteaut;reference/crypt/Canteaut05f
Peter Landrock;reference/crypt/Landrock05o
Burt Kaliski;reference/crypt/Kaliski11ak
David Naccache;reference/crypt/Naccache11l
Hideki Imai;reference/crypt/ImaiY05
Atsuhiro Yamagishi;reference/crypt/ImaiY05
Mike Just;reference/crypt/Just11a
Anne Canteaut;reference/crypt/Canteaut05j
Tor Helleseth;reference/crypt/Helleseth11g
Gerrit Bleumer;reference/crypt/Bleumer05d
Kazue Sako;reference/crypt/Sako11e
Pierangela Samarati;reference/crypt/Samarati11a
Frédéric Cuppens;reference/crypt/CuppensC11a
Nora Cuppens-Boulahia;reference/crypt/CuppensC11a
Caroline Fontaine;reference/crypt/Fontaine11i
Friedrich L. Bauer;reference/crypt/Bauer11c
Shambhu J. Upadhyaya;reference/crypt/Upadhyaya11
Toni Farley;reference/crypt/FarleyJ05
Jill Joseph;reference/crypt/FarleyJ05
Stefan Katzenbeisser 0001;reference/crypt/KatzenbeisserKV11
Johannes Kinder;reference/crypt/KatzenbeisserKV11
Helmut Veith;reference/crypt/KatzenbeisserKV11
Arjen K. Lenstra;reference/crypt/Lenstra11a
Mike Just;reference/crypt/Just11e
Robert J. Zuccherato;reference/crypt/Zuccherato05b
David Naccache;reference/crypt/Naccache11a
Carlisle Adams;reference/crypt/Adams05a
Anne Canteaut;reference/crypt/Canteaut05d
Emmanuel Thomé;reference/crypt/Thome11
Amit Klein;reference/crypt/Klein11
Catherine A. Meadows;reference/crypt/Meadows11c
Wesley M. Eddy;reference/crypt/Eddy11
Anne Canteaut;reference/crypt/Canteaut05b
Matthew J. B. Robshaw;reference/crypt/Robshaw11
Donggang Liu;reference/crypt/Liu11
Tom Caddy;reference/crypt/Caddy05a
Burton S. Kaliski Jr.;reference/crypt/Kaliski05a
Burton S. Kaliski Jr.;reference/crypt/Kaliski05f
Marc Vauclair;reference/crypt/Vauclair11e
Dan Boneh;reference/crypt/Boneh05e
Matthew K. Franklin;reference/crypt/Franklin05
Padmaraj M. V. Nair;reference/crypt/Nair11
Sabrina De Capitani di Vimercati;reference/crypt/VimercatiS11b
Pierangela Samarati;reference/crypt/VimercatiS11b
Bart Preneel;reference/crypt/Preneel11l
Lukasz Opyrchal;reference/crypt/Opyrchal05
Jerome A. Solinas;reference/crypt/Solinas05
Robert Blakley;reference/crypt/BlakleyK05
Gregory A. Kabatiansky;reference/crypt/BlakleyK05
Micah Sherr;reference/crypt/Sherr11
Christof Paar;reference/crypt/Paar05
Tom Caddy;reference/crypt/Caddy05
Carlisle Adams;reference/crypt/Adams05i
Caroline Fontaine;reference/crypt/Fontaine05g
Sabrina De Capitani di Vimercati;reference/crypt/Vimercati11f
Yvo Desmedt;reference/crypt/Desmedt11e
Kim Nguyen;reference/crypt/Nguyen11
Darrel Hankerson;reference/crypt/HankersonM11l
Alfred Menezes;reference/crypt/HankersonM11l
Stuart Haber;reference/crypt/HaberM11
Henri Massias;reference/crypt/HaberM11
Tom Caddy;reference/crypt/Caddy11d
Claudio Agostino Ardagna;reference/crypt/ArdagnaD11
Ernesto Damiani;reference/crypt/ArdagnaD11
Darrel Hankerson;reference/crypt/HankersonM11c
Alfred Menezes;reference/crypt/HankersonM11c
Marion Videau;reference/crypt/Videau11b
David Naccache;reference/crypt/Naccache11g
Berry Schoenmakers;reference/crypt/Schoenmakers05h
Christof Paar;reference/crypt/Paar11b
Carlisle Adams;reference/crypt/Adams11h
Burt Kaliski;reference/crypt/Kaliski11o
Tyrone Grandison;reference/crypt/GrandisonL11
Kristen LeFevre;reference/crypt/GrandisonL11
Yvo Desmedt;reference/crypt/Desmedt11i
Lars R. Knudsen;reference/crypt/Knudsen05
Hugo Krawczyk;reference/crypt/Krawczyk11
Carlo Blundo;reference/crypt/Blundo11
Carlisle Adams;reference/crypt/Adams05r
Michael J. Wiener;reference/crypt/Wiener11
Scott Contini;reference/crypt/Contini05c
Alex Biryukov;reference/crypt/Biryukov05p
Sudeep Sarkar;reference/crypt/SarkarL11
Zongyi Liu;reference/crypt/SarkarL11
Dan Boneh;reference/crypt/Boneh11j
Alex Biryukov;reference/crypt/Biryukov05xc
Sachar Paulus;reference/crypt/Paulus05
Bart Preneel;reference/crypt/Preneel05b
Danny De Cock;reference/crypt/Cock11
Darrel Hankerson;reference/crypt/HankersonM05a
Alfred Menezes;reference/crypt/HankersonM05a
Patrizio Campisi;reference/crypt/CampisiN11
Alessandro Neri 0001;reference/crypt/CampisiN11
Gilles Brassard;reference/crypt/BrassardC05
Claude Crépeau;reference/crypt/BrassardC05
Michael Huth;reference/crypt/Huth11
Christophe De Cannière;reference/crypt/Canniere05e
David Naccache;reference/crypt/Naccache11o
Çetin Kaya Koç;reference/crypt/KocW05
Colin D. Walter;reference/crypt/KocW05
Peter Landrock;reference/crypt/Landrock05x
Bruce Schneier;reference/crypt/Schneier05
Alban Gabillon;reference/crypt/Gabillon11
Gerrit Bleumer;reference/crypt/Bleumer05y
Christof Paar;reference/crypt/Paar05a
Yvo Desmedt;reference/crypt/Desmedt05d
Caroline Fontaine;reference/crypt/Fontaine11b
Robert J. Zuccherato;reference/crypt/Zuccherato11b
Friedrich L. Bauer;reference/crypt/Bauer05h
Yu Chen;reference/crypt/Chen11
Alexander Barg;reference/crypt/BargK05
Gregory A. Kabatiansky;reference/crypt/BargK05
Jon Callas;reference/crypt/CallasNO11
Daniel Nagy;reference/crypt/CallasNO11
Akira Otsuka;reference/crypt/CallasNO11
François Koeune;reference/crypt/Koeune11
David Naccache;reference/crypt/Naccache11h
Tom Caddy;reference/crypt/Caddy11c
Roberto Avanzi;reference/crypt/AvanziT11b
Nicolas Thériault;reference/crypt/AvanziT11b
Wesley M. Eddy;reference/crypt/Eddy11a
Burton S. Kaliski Jr.;reference/crypt/Kaliski05r
David Naccache;reference/crypt/Naccache11
Friedrich L. Bauer;reference/crypt/Bauer11e
Yvo Desmedt;reference/crypt/Desmedt11f
Bodo Möller;reference/crypt/Moller05d
Heiko Mantel;reference/crypt/Mantel11
Alex Biryukov;reference/crypt/Biryukov05e
Lars R. Knudsen;reference/crypt/KnudsenL11
Gregor Leander;reference/crypt/KnudsenL11
Anton Stiglic;reference/crypt/Stiglic11c
Darrel Hankerson;reference/crypt/HankersonM05e
Alfred Menezes;reference/crypt/HankersonM05e
G. R. Blakley;reference/crypt/BlakleyK11
Gregory A. Kabatiansky;reference/crypt/BlakleyK11
Darrel Hankerson;reference/crypt/HankersonM05h
Alfred Menezes;reference/crypt/HankersonM05h
Gerrit Bleumer;reference/crypt/Bleumer11i
Friedrich L. Bauer;reference/crypt/Bauer11d
Burton S. Kaliski Jr.;reference/crypt/Kaliski05xc
Patrizio Campisi;reference/crypt/CampisiMMVN11
Emanuele Maiorana;reference/crypt/CampisiMMVN11
Harold Mouchère;reference/crypt/CampisiMMVN11
Christian Viard-Gaudin;reference/crypt/CampisiMMVN11
Alessandro Neri 0001;reference/crypt/CampisiMMVN11
Yvo Desmedt;reference/crypt/Desmedt05a
Mike Just;reference/crypt/Just05d
Peter Landrock;reference/crypt/LandrockC11
Danny De Cock;reference/crypt/LandrockC11
Alex Biryukov;reference/crypt/Biryukov11h
David Pointcheval;reference/crypt/Pointcheval11b
Friedrich L. Bauer;reference/crypt/Bauer05o
Burton S. Kaliski Jr.;reference/crypt/Kaliski05m
Brent ByungHoon Kang;reference/crypt/KangS11a
Gautam Singaraju;reference/crypt/KangS11a
Sabrina De Capitani di Vimercati;reference/crypt/VimercatiL11a
Giovanni Livraga;reference/crypt/VimercatiL11a
Pijush Samui;reference/genetic/SamuiDJ15
Yildirim Dalkiliç;reference/genetic/SamuiDJ15
J. Jagan;reference/genetic/SamuiDJ15
William B. Langdon;reference/genetic/Langdon15
António Leitão;reference/genetic/LeitaoM15
Penousal Machado;reference/genetic/LeitaoM15
Renu Vyas;reference/genetic/VyasGT15
Purva Goel;reference/genetic/VyasGT15
Sanjeev S. Tambe;reference/genetic/VyasGT15
Ali Vahdat;reference/genetic/VahdatMMHZ15
Jillian Morgan;reference/genetic/VahdatMMHZ15
Andrew R. McIntyre;reference/genetic/VahdatMMHZ15
Malcolm I. Heywood;reference/genetic/VahdatMMHZ15
A. Nur Zincir-Heywood;reference/genetic/VahdatMMHZ15
Stanislaw Deniziak;reference/genetic/DeniziakCP15
Leszek Ciopinski;reference/genetic/DeniziakCP15
Grzegorz Pawinski;reference/genetic/DeniziakCP15
Rajib Maity;reference/genetic/MaityC15
Kironmala Chanda;reference/genetic/MaityC15
Mohamed A. Shahin;reference/genetic/Shahin15
Partha Pratim Roy 0002;reference/genetic/RoyRR15
Supratim Ray;reference/genetic/RoyRR15
Kunal Roy;reference/genetic/RoyRR15
Penousal Machado;reference/genetic/MachadoCA15
João Correia;reference/genetic/MachadoCA15
Filipe Assunção;reference/genetic/MachadoCA15
José María Luna;reference/genetic/LunaCV15
Alberto Cano 0001;reference/genetic/LunaCV15
Sebastián Ventura;reference/genetic/LunaCV15
Elahe Fallah-Mehdipour;reference/genetic/Fallah-MehdipourH15
Omid Bozorg Haddad;reference/genetic/Fallah-MehdipourH15
Saeed K. Babanajad;reference/genetic/Babanajad15
A. Zahiri;reference/genetic/ZahiriDA15
A. A. Dehghani;reference/genetic/ZahiriDA15
H. Md. Azamathulla;reference/genetic/ZahiriDA15
Mehdi Mousavi;reference/genetic/MousaviARF15
Alireza Azarbakht;reference/genetic/MousaviARF15
