author;id_publication
Michael Tarnowski;tr/ibm/IWBS121
Helmar Gust;tr/ibm/LILOG29
Petra Ludewig;tr/ibm/LILOG29
Mechthild Rickheit;tr/ibm/LILOG29
Martin Hübner;tr/ibm/IWBS130
Kai von Luck;tr/ibm/IWBS130
Ulrike Weiland;tr/ibm/IWBS130
Elisabeth Neugebauer;tr/ibm/IWBS210
Mohammed Nadjib Khenkhar;tr/ibm/LILOG19
Sitaram Lanka;tr/ibm/IWBS135
Eric Mays;tr/ibm/IWBS135
Petra Maier;tr/ibm/LILOG11
Michel E. Adiba;tr/ibm/RJ2772
Bruce G. Lindsay 0001;tr/ibm/RJ2772
Birgit Wesche;tr/ibm/LILOG23
Stefan Börner;tr/ibm/LILOG10
Gudrun Klose;tr/ibm/IWBS171
Ewald Lang;tr/ibm/IWBS171
Thomas Pirlein;tr/ibm/IWBS171
Gerd Kortüm;tr/ibm/IWBS162
Ipke Wachsmuth;tr/ibm/IWBS91
Udo Pletat;tr/ibm/LILOG7
Christoph Beierle;tr/ibm/LILOG7
Christoph Beierle;tr/ibm/IWBS205
Egon Börger;tr/ibm/IWBS205
Birgit Wesche;tr/ibm/LILOG13
Ingrid Renz;tr/ibm/LILOG13
Kai von Luck;tr/ibm/IWBS106
Stefan Böttcher;tr/ibm/IWBS134
Noam Paz;tr/ibm/IWBS96
Kurt Eberle;tr/ibm/IWBS192
Michael Ley;tr/ibm/IWBS107
Bernd Walter;tr/ibm/IWBS107
Gregor Erbach;tr/ibm/IWBS167
Christos Garidis;tr/ibm/LILOG50
Jennifer Brundage;tr/ibm/IWBS232
Maren Kresse;tr/ibm/IWBS232
Ulrike Schwall;tr/ibm/IWBS232
Angelika Storrer;tr/ibm/IWBS232
Toni Bollinger;tr/ibm/IWBS182
Stefan J. Schierholz;tr/ibm/IWBS189
Eric Windisch;tr/ibm/IWBS189
Gregor Erbach;tr/ibm/IWBS169
Toni Bollinger;tr/ibm/IWBS156
Udo Pletat;tr/ibm/IWBS156
Peter Gerstl;tr/ibm/IWBS223
Dines Bjørner;tr/ibm/RJ1200
E. F. Codd;tr/ibm/RJ1200
Kenneth L. Deckert;tr/ibm/RJ1200
Irving L. Traiger;tr/ibm/RJ1200
Ulrike Rackow;tr/ibm/IWBS221
Claudia Maienborn;tr/ibm/IWBS138
Sonja Müller;tr/ibm/IWBS217
Christoph Beierle;tr/ibm/IWBS200
Egon Börger;tr/ibm/IWBS200
Rolf Mayer;tr/ibm/IWBS178
Rüdiger Wirth;tr/ibm/IWBS84
Holger M. Wittmann;tr/ibm/IWBS170
Mechthild Rickheit;tr/ibm/LILOG35
Jan Wilms;tr/ibm/LILOGM5
Michael Ley;tr/ibm/IWBS202
Kai Lebeth;tr/ibm/IWBS224
Bernd Abb;tr/ibm/IWBS224
Gert Smolka;tr/ibm/IWBS93
Jörg Heinrich;tr/ibm/LILOGM3
Andreas Eisele 0001;tr/ibm/IWBS124
Jochen Dörre;tr/ibm/IWBS124
Rainer Bäuerle;tr/ibm/LILOG43
Sven Lorenz;tr/ibm/IWBS234
Egon Börger;tr/ibm/IWBS115
Thomas Ludwig 0001;tr/ibm/IWBS102
Michael Klein;tr/ibm/IWBS198
E. F. Codd;tr/ibm/RJ2144
Robert S. Arnold;tr/ibm/RJ2144
Jean-Marc Cadiou;tr/ibm/RJ2144
Chin-Liang Chang;tr/ibm/RJ2144
Nick Roussopoulos;tr/ibm/RJ2144
Tibor Kiss;tr/ibm/IWBS194
Peter H. Schmitt;tr/ibm/IWBS108
Wolfgang Wernecke;tr/ibm/IWBS108
Roland Seiffert;tr/ibm/LILOGM6
Albert Maier;tr/ibm/IWBS99
Jochen Dörre;tr/ibm/IWBS153
Roland Seiffert;tr/ibm/IWBS153
Toni Bollinger;tr/ibm/IWBS72
Ulrich Hedtstück;tr/ibm/IWBS72
Claus-Rainer Rollinger;tr/ibm/IWBS72
Petra Maier;tr/ibm/IWBS70
Petra Steffens;tr/ibm/IWBS70
Helmar Gust;tr/ibm/LILOG30
Manfred Grothaus;tr/ibm/LILOG30
Esther König;tr/ibm/IWBS80
Karin Klabunde;tr/ibm/IWBS92
Karl Dotzek;tr/ibm/IWBS110
Sai Choi Kwan;tr/ibm/RJ2736
H. Raymond Strong;tr/ibm/RJ2736
Stefan J. Schierholz;tr/ibm/IWBS213
Roland Seiffert;tr/ibm/LILOG46
Kai-Uwe Carstensen;tr/ibm/LILOGM11
Nikolaus Ott;tr/ibm/IWBS233
Otthein Herzog;tr/ibm/LILOG1a
Claus-Rainer Rollinger;tr/ibm/LILOG1a
Peter H. Schmitt;tr/ibm/LILOG1a
Petra Steffens;tr/ibm/LILOG1a
Rudi Studer;tr/ibm/LILOG1a
Birgit Wesche;tr/ibm/LILOG1a
Brigitte Bartsch-Spörl;tr/ibm/LILOG1a
F. Günthner;tr/ibm/LILOG1a
Christopher Habel;tr/ibm/LILOG1a
Siegfried Kanngießer;tr/ibm/LILOG1a
Christian Rohrer;tr/ibm/LILOG1a
Peter H. Schmitt;tr/ibm/LILOG6
Stefan J. Schierholz;tr/ibm/IWBS214
Elisabeth Breidt;tr/ibm/IWBS158
Oliver Wauschkuhn;tr/ibm/IWBS215
Christoph Beierle;tr/ibm/IWBS140
Angi Voß;tr/ibm/IWBS140
Christoph Beierle;tr/ibm/IWBS88
Christoph Beierle;tr/ibm/LILOG41
Jochen Dörre;tr/ibm/LILOG41
Udo Pletat;tr/ibm/LILOG41
Claus-Rainer Rollinger;tr/ibm/LILOG41
Peter H. Schmitt;tr/ibm/LILOG41
Rudi Studer;tr/ibm/LILOG41
Kurt Eberle;tr/ibm/LILOG14
Jochen Dörre;tr/ibm/IWBS168
Ingo Raasch;tr/ibm/IWBS168
Claudia Maienborn;tr/ibm/IWBS119
Bernd I. Dahn;tr/ibm/IWBS193
Theodor Lettmann;tr/ibm/IWBS193
Wolfgang Schönfeld;tr/ibm/IWBS193
Irving L. Traiger;tr/ibm/RJ2555
Jim Gray 0001;tr/ibm/RJ2555
Cesare A. Galtieri;tr/ibm/RJ2555
Bruce G. Lindsay 0001;tr/ibm/RJ2555
Udo Pletat;tr/ibm/IWBS90
Kai von Luck;tr/ibm/IWBS90
Egon Börger;tr/ibm/IWBS117
Christoph Lingenfelder;tr/ibm/IWBS222
Astrid Schmücker-Schend;tr/ibm/IWBS222
Simone Pribbenow;tr/ibm/IWBS211
Joachim Maier;tr/ibm/IWBS85
Klaus Rehkämper;tr/ibm/LILOG20
Hinrich Schütze;tr/ibm/IWBS73
Christoph Beierle;tr/ibm/IWBS113
Ulrich Hedtstück;tr/ibm/IWBS113
Udo Pletat;tr/ibm/IWBS113
